date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
5/5/20,Alpine,County,1117,0,1,0,0,1,16,0,1,0,1,0,0,0
6/2/21,Sierra,County,3115,0,55,0,0,12,2888,0,58,0,55,0,0,0
5/6/20,Alpine,County,1117,0,1,0,0,4,20,0,1,0,1,0,0,0
5/18/21,Sierra,County,3115,0,54,0,0,6,2787,0,57,0,54,0,0,0
5/7/20,Alpine,County,1117,0,1,0,0,1,21,0,1,0,1,0,0,0
2/16/21,Sierra,County,3115,0,48,0,0,8,2117,0,48,0,47,0,0,0
5/21/21,Alpine,County,1117,0,88,0,0,4,1992,0,37,0,88,0,0,0
5/12/20,Sierra,County,3115,0,0,0,0,1,19,0,0,0,0,0,0,0
5/27/21,Alpine,County,1117,0,88,0,0,3,2002,0,37,0,88,0,0,0
2/5/21,Sierra,County,3115,0,47,0,0,8,2039,0,47,0,42,0,0,0
6/3/21,Alpine,County,1117,0,88,0,0,2,2012,0,37,0,88,0,0,0
5/11/20,Sierra,County,3115,0,0,0,0,0,18,0,0,0,0,0,0,0
6/4/21,Alpine,County,1117,0,88,0,0,2,2014,0,37,0,88,0,0,0
5/5/20,Sierra,County,3115,0,0,0,0,0,16,0,0,0,0,0,0,0
6/8/21,Alpine,County,1117,0,88,0,0,1,2015,0,37,0,88,0,0,0
5/8/20,Sierra,County,3115,0,0,0,0,0,18,0,0,0,0,0,0,0
6/9/21,Alpine,County,1117,0,88,0,0,0,2015,0,37,0,88,0,0,0
5/27/21,Sierra,County,3115,0,55,0,0,11,2843,0,58,0,54,0,0,0
6/10/21,Alpine,County,1117,0,88,0,0,2,2017,0,37,0,88,0,0,0
5/13/20,Sierra,County,3115,0,0,0,0,2,21,0,0,0,0,0,0,0
6/11/21,Alpine,County,1117,0,88,0,0,2,2019,0,37,0,88,0,0,0
5/6/20,Sierra,County,3115,0,0,0,0,2,18,0,0,0,0,0,0,0
6/14/21,Alpine,County,1117,1,89,0,0,0,2020,0,37,0,88,0,0,0
5/9/20,Sierra,County,3115,0,0,0,0,0,18,0,0,0,0,0,0,0
6/16/21,Alpine,County,1117,0,89,0,0,0,2022,0,37,0,88,0,0,0
5/20/20,Sierra,County,3115,1,1,0,0,1,34,0,0,0,0,0,0,0
6/19/21,Alpine,County,1117,0,89,0,0,0,2024,0,37,0,88,0,0,0
5/18/20,Sierra,County,3115,0,0,0,0,1,31,0,0,0,0,0,0,0
6/20/21,Alpine,County,1117,0,89,0,0,1,2025,0,37,0,88,0,0,0
5/7/20,Sierra,County,3115,0,0,0,0,0,18,0,0,0,0,0,0,0
6/23/21,Alpine,County,1117,0,89,0,0,0,2027,0,37,0,88,0,0,0
2/9/21,Sierra,County,3115,0,47,0,0,7,2076,0,48,0,44,0,0,0
6/24/21,Alpine,County,1117,0,89,0,0,5,2032,0,37,1,89,0,0,0
6/3/21,Sierra,County,3115,0,55,0,0,8,2896,0,58,0,55,0,0,0
6/29/21,Alpine,County,1117,0,89,0,0,1,2036,0,37,0,89,0,0,0
5/4/21,Trinity,County,13354,0,331,0,3,10,7784,0,347,0,326,0,3,0
7/1/21,Alpine,County,1117,0,89,0,0,2,2038,0,37,0,89,0,0,0
7/7/21,Sierra,County,3115,0,63,0,0,12,3091,1,66,0,60,0,0,0
7/6/21,Alpine,County,1117,0,89,0,0,1,2039,0,37,0,89,0,0,0
5/15/20,Sierra,County,3115,0,0,0,0,3,30,0,0,0,0,0,0,0
7/7/21,Alpine,County,1117,0,89,0,0,0,2039,0,37,0,89,0,0,0
3/1/21,Sierra,County,3115,0,49,0,0,19,2230,0,50,0,48,0,0,0
7/12/21,Alpine,County,1117,0,89,0,0,0,2043,0,37,0,89,0,0,0
6/21/21,Sierra,County,3115,0,60,0,0,15,2998,2,62,0,57,0,0,0
7/13/21,Alpine,County,1117,0,89,0,0,2,2045,0,37,0,89,0,0,0
5/20/21,Sierra,County,3115,0,54,0,0,6,2802,0,57,0,54,0,0,0
5/8/20,Alpine,County,1117,0,1,0,0,1,22,0,1,0,1,0,0,0
5/16/20,Sierra,County,3115,0,0,0,0,0,30,0,0,0,0,0,0,0
5/9/20,Alpine,County,1117,0,1,0,0,0,22,0,1,0,1,0,0,0
5/10/20,Sierra,County,3115,0,0,0,0,0,18,0,0,0,0,0,0,0
5/10/20,Alpine,County,1117,0,1,0,0,0,22,0,1,0,1,0,0,0
5/17/20,Sierra,County,3115,0,0,0,0,0,30,0,0,0,0,0,0,0
5/11/20,Alpine,County,1117,0,1,0,0,1,23,0,1,0,1,0,0,0
5/14/20,Sierra,County,3115,0,0,0,0,6,27,0,0,0,0,0,0,0
5/12/20,Alpine,County,1117,0,1,0,0,0,23,0,1,0,1,0,0,0
5/19/20,Sierra,County,3115,0,0,0,0,2,33,0,0,0,0,0,0,0
5/13/20,Alpine,County,1117,0,1,0,0,1,24,0,1,0,1,0,0,0
5/14/20,Alpine,County,1117,0,1,0,0,0,24,0,1,0,1,0,0,0
5/15/20,Alpine,County,1117,0,1,0,0,2,26,0,1,0,1,0,0,0
3/25/21,Calaveras,County,44289,4,1990,0,50,137,36593,4,2225,7,1982,0,50,0
5/16/20,Alpine,County,1117,0,1,0,0,0,26,0,1,0,1,0,0,0
5/17/20,Alpine,County,1117,0,1,0,0,0,26,0,1,0,1,0,0,0
5/18/20,Alpine,County,1117,0,1,0,0,0,26,0,1,0,1,0,0,0
5/19/20,Alpine,County,1117,1,2,0,0,5,31,2,3,0,1,0,0,0
5/20/20,Alpine,County,1117,0,2,0,0,1,32,0,3,0,1,0,0,0
5/24/20,Alpine,County,1117,0,2,0,0,0,35,0,3,0,1,0,0,0
5/28/20,Alpine,County,1117,0,2,0,0,0,39,0,3,0,1,0,0,0
