Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
7/19/21,6011,29,Colusa County,CA,41,8831,8824,49.7,8518,54.2,2271,70.7,97.3,10405,48.3,10386,58.5,9979,63.5,2658,82.7,Mod-High,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
7/19/21,6097,29,Sonoma County,CA,60.6,299623,298843,69,282195,70.8,82575,80.7,97.3,338444,68.5,337313,77.8,317662,79.6,93628,91.5,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
7/19/21,6115,29,Yuba County,CA,33,25983,25939,40.6,24814,43.5,6820,66.4,97.3,31737,40.3,31668,49.6,30219,52.9,8153,79.4,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
7/19/21,6077,29,San Joaquin County,CA,38.4,293037,292540,46.5,277911,49.8,74572,74.7,97.3,412857,54.2,411700,65.5,386995,69.4,99002,99.2,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
7/19/21,6111,29,Ventura County,CA,54.5,461108,460106,63.6,432268,66,109434,80.1,97.3,525619,62.1,524028,72.5,490807,74.9,126536,92.6,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
7/19/21,6095,29,Solano County,CA,48.2,215579,215057,56.3,202967,58.1,53684,73.4,97.3,266448,59.5,265492,69.5,249849,71.6,64986,88.8,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
7/19/21,6017,29,El Dorado County,CA,48.9,94350,94165,55.6,89396,57.8,31534,74.5,97.3,104400,54.1,104131,61.5,98606,63.7,34823,82.3,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
7/19/21,6071,29,San Bernardino County,CA,39.2,855366,853814,47.3,806357,50.1,184463,70.8,97.3,992831,45.5,990248,54.9,931182,57.8,213415,81.9,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI
7/19/21,6107,29,Tulare County,CA,34.7,161563,161290,43.3,153176,47.3,37874,69.8,97.3,189501,40.6,188991,50.7,178342,55,42776,78.8,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
7/19/21,6105,29,Trinity County,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mod-High,,,,
